city,system:index,building_count,std_dev_area,total_area,geometry,population_density,temperature_anomaly,greenness
Sao-Paulo,17,58095,503.86807558482144,7122905.546138349,"POLYGON ((-46.85 -23.549999999999994, -46.800000000000004 -23.549999999999994, -46.800000000000004 -23.499999999999993, -46.85 -23.499999999999993, -46.85 -23.549999999999994))",10427.965574495342,-1.6653078,0.24286926
Sao-Paulo,18,14834,802.8403358636734,2842097.3279229226,"POLYGON ((-46.85 -23.499999999999993, -46.800000000000004 -23.499999999999993, -46.800000000000004 -23.449999999999992, -46.85 -23.449999999999992, -46.85 -23.499999999999993))",2833.588051883542,-1.7388158,0.31717974
Sao-Paulo,19,16209,579.87323802213,2135840.5327027934,"POLYGON ((-46.85 -23.449999999999992, -46.800000000000004 -23.449999999999992, -46.800000000000004 -23.399999999999988, -46.85 -23.399999999999984, -46.85 -23.449999999999992))",1862.1126048573271,-1.7249622,0.35839996
Sao-Paulo,20,11205,95.99416899713616,1158721.0206923592,"POLYGON ((-46.800000000000004 -23.9, -46.75000000000001 -23.9, -46.75000000000001 -23.849999999999994, -46.800000000000004 -23.849999999999998, -46.800000000000004 -23.9))",790.466875566755,-0.99629694,0.32772183
Sao-Paulo,21,4932,158.00788867182507,628739.4852014908,"POLYGON ((-46.800000000000004 -23.849999999999998, -46.75000000000001 -23.849999999999994, -46.75000000000001 -23.799999999999994, -46.800000000000004 -23.799999999999994, -46.800000000000004 -23.849999999999998))",193.27690206255232,-1.0124063,0.3319708
Sao-Paulo,22,7394,140.54985860046474,783123.6536861198,"POLYGON ((-46.800000000000004 -23.799999999999994, -46.75000000000001 -23.799999999999994, -46.75000000000001 -23.749999999999996, -46.800000000000004 -23.749999999999996, -46.800000000000004 -23.799999999999994))",1178.214574254289,-1.0522763,0.33809406
Sao-Paulo,23,39276,80.83079496622771,3433665.4057635735,"POLYGON ((-46.800000000000004 -23.749999999999996, -46.75000000000001 -23.749999999999996, -46.750000000000014 -23.699999999999996, -46.800000000000004 -23.699999999999996, -46.800000000000004 -23.749999999999996))",6074.043096707792,-1.0753618,0.24145804
Sao-Paulo,24,87103,121.96066427489828,8173048.860528612,"POLYGON ((-46.800000000000004 -23.699999999999996, -46.750000000000014 -23.699999999999996, -46.75 -23.649999999999995, -46.800000000000004 -23.649999999999995, -46.800000000000004 -23.699999999999996))",20132.576530612245,-1.215231,0.19223648
Sao-Paulo,25,70936,246.57419648852309,7892147.822604574,"POLYGON ((-46.800000000000004 -23.649999999999995, -46.75 -23.649999999999995, -46.75000000000001 -23.599999999999994, -46.80000000000001 -23.599999999999994, -46.800000000000004 -23.649999999999995))",15211.758938536352,-1.3282739,0.20363402
Sao-Paulo,26,62949,265.0399233631176,7495796.144899909,"POLYGON ((-46.80000000000001 -23.599999999999994, -46.75000000000001 -23.599999999999994, -46.75000000000001 -23.549999999999994, -46.800000000000004 -23.549999999999994, -46.80000000000001 -23.599999999999994))",11664.294523278062,-1.4126076,0.19612573
Sao-Paulo,27,59952,415.4328858379551,8609894.497835174,"POLYGON ((-46.800000000000004 -23.549999999999994, -46.75000000000001 -23.549999999999994, -46.75000000000001 -23.499999999999993, -46.800000000000004 -23.499999999999993, -46.800000000000004 -23.549999999999994))",9579.562784000318,-1.6493475,0.22625433
Sao-Paulo,28,26481,670.740398519209,3877010.1415848313,"POLYGON ((-46.800000000000004 -23.499999999999993, -46.75000000000001 -23.499999999999993, -46.75000000000001 -23.449999999999992, -46.800000000000004 -23.449999999999992, -46.800000000000004 -23.499999999999993))",5199.311411937889,-1.6722964,0.31140032
Sao-Paulo,29,22320,306.49485112876056,2447847.935384034,"POLYGON ((-46.800000000000004 -23.449999999999992, -46.75000000000001 -23.449999999999992, -46.750000000000014 -23.399999999999988, -46.800000000000004 -23.399999999999988, -46.800000000000004 -23.449999999999992))",4014.241307692944,-1.616323,0.3789661
Sao-Paulo,30,10178,80.19591748626195,937515.8308481493,"POLYGON ((-46.75000000000001 -23.9, -46.70000000000001 -23.9, -46.70000000000001 -23.849999999999994, -46.75000000000001 -23.849999999999994, -46.75000000000001 -23.9))",1195.9411111286709,-0.8881885,0.32924527
Sao-Paulo,31,17092,94.81372727413206,1583983.4159007776,"POLYGON ((-46.75000000000001 -23.849999999999994, -46.70000000000001 -23.849999999999994, -46.70000000000001 -23.799999999999994, -46.75000000000001 -23.799999999999994, -46.75000000000001 -23.849999999999994))",1658.6958627895433,-0.8908339,0.33377734
Sao-Paulo,32,27355,197.96956313658475,2715730.5009578834,"POLYGON ((-46.75000000000001 -23.799999999999994, -46.70000000000001 -23.799999999999994, -46.70000000000001 -23.749999999999996, -46.75000000000001 -23.749999999999996, -46.75000000000001 -23.799999999999994))",4531.418866235383,-0.9011709,0.2788424
Sao-Paulo,33,23830,157.76542640288275,2698489.481535746,"POLYGON ((-46.75000000000001 -23.749999999999996, -46.70000000000001 -23.749999999999996, -46.70000000000001 -23.699999999999996, -46.750000000000014 -23.699999999999996, -46.75000000000001 -23.749999999999996))",4799.29011469947,-0.91674995,0.17839372
Sao-Paulo,34,41178,317.4931114699201,5747295.960679518,"POLYGON ((-46.750000000000014 -23.699999999999996, -46.70000000000001 -23.699999999999996, -46.70000000000001 -23.649999999999995, -46.75 -23.649999999999995, -46.750000000000014 -23.699999999999996))",8463.463140447935,-1.1577902,0.17143929
